车队,网址,原始来源
Ferrari,/photos/custom/teams/logo_Ferrari.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/ferrari/2026ferrarilogowhite.webp
Red Bull Racing,/photos/custom/teams/logo_Red_Bull_Racing.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/redbullracing/2026redbullracinglogowhite.webp
Mercedes,/photos/custom/teams/logo_Mercedes.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/mercedes/2026mercedeslogowhite.webp
McLaren,/photos/custom/teams/logo_McLaren.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/mclaren/2026mclarenlogowhite.webp
Aston Martin,/photos/custom/teams/logo_Aston_Martin.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/astonmartin/2026astonmartinlogowhite.webp
Williams,/photos/custom/teams/logo_Williams.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/williams/2026williamslogowhite.webp
Alpine,/photos/custom/teams/logo_Alpine.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/alpine/2026alpinelogowhite.webp
Haas F1 Team,/photos/custom/teams/logo_Haas_F1_Team.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2026/haas/2026haaslogowhite.webp
Racing Bulls,/photos/custom/teams/logo_Racing_Bulls.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2025/rb/2025rblogowhite.webp
Kick Sauber,/photos/custom/teams/logo_Kick_Sauber.webp,https://media.formula1.com/image/upload/v1740000000/common/f1/2024/alfa-romeo/2024alfa-romeologowhite.webp
