NO,名,姓,缩写,网址,原始来源
4,Lando,Norris,NOR,/photos/custom/drivers/avatar_NOR.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/mclaren/lannor01/2025mclarenlannor01right.webp"
1,Max,Verstappen,VER,/photos/custom/drivers/avatar_VER.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/redbullracing/maxver01/2025redbullracingmaxver01right.webp"
63,George,Russell,RUS,/photos/custom/drivers/avatar_RUS.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/mercedes/georus01/2025mercedesgeorus01right.webp"
12,Kimi,Antonelli,ANT,/photos/custom/drivers/avatar_ANT.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/mercedes/andant01/2025mercedesandant01right.webp"
23,Alexander,Albon,ALB,/photos/custom/drivers/avatar_ALB.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/williams/alealb01/2025williamsalealb01right.webp"
18,Lance,Stroll,STR,/photos/custom/drivers/avatar_STR.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/astonmartin/lanstr01/2025astonmartinlanstr01right.webp"
27,Nico,Hulkenberg,HUL,/photos/custom/drivers/avatar_HUL.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/kicksauber/nichul01/2025kicksaubernichul01right.webp"
16,Charles,Leclerc,LEC,/photos/custom/drivers/avatar_LEC.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/ferrari/chalec01/2025ferrarichalec01right.webp"
81,Oscar,Piastri,PIA,/photos/custom/drivers/avatar_PIA.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/mclaren/oscpia01/2025mclarenoscpia01right.webp"
44,Lewis,Hamilton,HAM,/photos/custom/drivers/avatar_HAM.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/ferrari/lewham01/2025ferrarilewham01right.webp"
10,Pierre,Gasly,GAS,/photos/custom/drivers/avatar_GAS.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/alpine/piegas01/2025alpinepiegas01right.webp"
22,Yuki,Tsunoda,TSU,/photos/custom/drivers/avatar_TSU.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/racingbulls/yuktsu01/2025racingbullsyuktsu01right.webp"
31,Esteban,Ocon,OCO,/photos/custom/drivers/avatar_OCO.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/haasf1team/estoco01/2025haasf1teamestoco01right.webp"
87,Oliver,Bearman,BEA,/photos/custom/drivers/avatar_BEA.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/haasf1team/olibea01/2025haasf1teamolibea01right.webp"
30,Liam,Lawson,LAW,/photos/custom/drivers/avatar_LAW.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/redbullracing/lialaw01/2025redbullracinglialaw01right.webp"
5,Gabriel,Bortoleto,BOR,/photos/custom/drivers/avatar_BOR.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/kicksauber/gabbor01/2025kicksaubergabbor01right.webp"
14,Fernando,Alonso,ALO,/photos/custom/drivers/avatar_ALO.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/astonmartin/feralo01/2025astonmartinferalo01right.webp"
55,Carlos,Sainz,SAI,/photos/custom/drivers/avatar_SAI.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/williams/carsai01/2025williamscarsai01right.webp"
7,Jack,Doohan,DOO,/photos/custom/drivers/avatar_DOO.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/alpine/jacdoo01/2025alpinejacdoo01right.webp"
6,Isack,Hadjar,HAD,/photos/custom/drivers/avatar_HAD.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/racingbulls/isahad01/2025racingbullsisahad01right.webp"
22,Yuki,Tsunoda,TSU,/photos/custom/drivers/avatar_TSU.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/redbullracing/yuktsu01/2025redbullracingyuktsu01right.webp"
30,Liam,Lawson,LAW,/photos/custom/drivers/avatar_LAW.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/racingbulls/lialaw01/2025racingbullslialaw01right.webp"
43,Franco,Colapinto,COL,/photos/custom/drivers/avatar_COL.webp,"https://media.formula1.com/image/upload/c_lfill,w_64/q_auto/d_common:f1:2025:fallback:driver:2025fallbackdriverright.webp/v1740000000/common/f1/2025/alpine/fracol01/2025alpinefracol01right.webp"
