year,rank,team,engine,points,outof,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,race16,race17,race18,race19,race20,race21
1958,1,"Vanwall","",48,57,-,8,8,(6),(3),8,8,,,,,,,,,,,,,,
1958,2,"Ferrari","",40,57,6,6,(2),6,8,8,(3),6,,,,,,,,,,,,,
1958,3,"Cooper","Climax",31,,8,8,3,-,-,4,6,-,,,,,,,,,,,,,
1958,4,"BRM","",18,,2,6,2,-,2,-,3,,,,,,,,,,,,,,
1958,5,"Maserati","",6,,3,-,-,-,3,-,-,-,,,,,,,,,,,,,
1958,6,"Lotus","Climax",3,,-,-,3,-,-,-,-,,,,,,,,,,,,,,
1959,1,"Cooper","Climax",40,53,8,(6),(4),8,(3),8,,,,,,,,,,,,,,,
1959,2,"Ferrari","",32,38,6,(2),8,8,(4),,,,,,,,,,,,,,,,
1959,3,"BRM","",18,,-,8,-,6,2,,,,,,,,,,,,,,,,
1959,4,"Lotus","Climax",5,,-,3,-,-,-,-,,,,,,,,,,,,,,,
1960,1,"Cooper","Climax",48,58,8,(6),8,8,8,8,8,,,,,,,,,,,,,,
1960,2,"Lotus","Climax",34,37,(1),8,6,2,(2),6,,,,,,,,,,,,,,,
1960,3,"Ferrari","",26,27,6,4,2,3,-,(1),,,,,,,,,,,,,,,
1960,4,"BRM","",8,,-,2,4,-,-,-,,,,,,,,,,,,,,,
1960,5,"Cooper","Maserati",3,,3,-,-,-,-,-,,,,,,,,,,,,,,,
1960,6,"Cooper","Castellotti",3,,-,-,,,,,,,,,,,,,,,,,,,
1960,7,"Porsche","",1,,,,,,,,,,,,,,,,,,,,,,
1961,1,"Ferrari","",40,52,(6),8,8,8,8,(6),,,,,,,,,,,,,,,
1961,2,"Lotus","Climax",32,,8,4,-,4,-,8,,,,,,,,,,,,,,,
1961,3,"Porsche","",22,23,2,-,(1),6,2,-,,,,,,,,,,,,,,,
1961,4,"Cooper","Climax",14,18,(1),(1),2,2,3,(2),,,,,,,,,,,,,,,
1961,5,"BRM","Climax",7,,-,-,-,1,-,-,,,,,,,,,,,,,,,
1962,1,"BRM","",42,56,9,(1),6,(4),(3),9,9,,,,,,,,,,,,,,
1962,2,"Lotus","Climax",36,38,6,-,9,-,9,3,-,,,,,,,,,,,,,,
1962,3,"Cooper","Climax",29,37,(2),9,-,6,4,(2),(4),,,,,,,,,,,,,,
1962,4,"Lola","Climax",19,,-,3,2,2,6,6,-,,,,,,,,,,,,,,
1962,5,"Porsche","",18,19,1,2,-,9,-,4,(1),,,,,,,,,,,,,,
1962,6,"Ferrari","",18,,4,6,4,-,-,1,,,,,,,,,,,,,,,
1962,7,"Brabham","Climax",6,,-,,,,,,,,,,,,,,,,,,,,
1962,8,"Lotus","BRM",1,,-,-,-,-,-,,,,,,,,,,,,,,,,
1963,1,"Lotus","Climax",54,74,(1),9,9,9,9,(6),9,(4),,,,,,,,,,,,,
1963,2,"BRM","",36,45,9,(3),(2),-,4,4,6,9,,,,,,,,,,,,,
1963,3,"Brabham","Climax",28,30,-,4,6,3,-,-,(2),3,,,,,,,,,,,,,
1963,4,"Ferrari","",26,,3,-,4,-,6,9,-,2,,,,,,,,,,,,,
1963,5,"Cooper","Climax",25,26,4,6,-,6,-,(1),4,-,,,,,,,,,,,,,
1963,6,"BRP","BRM",6,,-,3,-,-,3,,,,,,,,,,,,,,,,
1963,7,"Porsche","",5,,1,-,-,3,-,1,,,,,,,,,,,,,,,
1963,8,"Lotus","BRM",4,,-,-,-,1,1,2,-,-,,,,,,,,,,,,,
