season,round,circuit,driver_id,driver,position,points_recorded,base_points,fl_points,note
1950,1,"Silverstone Circuit, Great Britain",16,Nino Farina,1,9.0,8,1.0,Fastest Lap (+1 pt)
1950,2,"Circuit de Monaco, Monaco",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1950,3,"Indianapolis Motor Speedway, United States",61,Johnnie Parsons,1,9.0,8,1.0,Fastest Lap (+1 pt)
1950,4,"Bremgarten, Switzerland",16,Nino Farina,1,9.0,8,1.0,Fastest Lap (+1 pt)
1950,5,"Circuit de Spa-Francorchamps, Belgium",16,Nino Farina,4,4.0,3,1.0,Fastest Lap (+1 pt)
1950,6,"Circuit de Reims-Gueux, France",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1950,7,"Autodromo Nazionale Monza, Italy",11,Juan Manuel Fangio,999,1.0,0,1.0,Fastest Lap (+1 pt)
1951,1,"Bremgarten, Switzerland",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1951,2,"Indianapolis Motor Speedway, United States",64,Lee Wallard,1,9.0,8,1.0,Fastest Lap (+1 pt)
1951,3,"Circuit de Spa-Francorchamps, Belgium",11,Juan Manuel Fangio,9,1.0,0,1.0,Fastest Lap (+1 pt)
1951,4,"Circuit de Reims-Gueux, France",11,Juan Manuel Fangio,999,1.0,0,1.0,Fastest Lap (+1 pt) [Manual]
1951,5,"Silverstone Circuit, Great Britain",16,Nino Farina,999,1.0,0,1.0,Fastest Lap (+1 pt)
1951,6,"Nürburgring, Germany",11,Juan Manuel Fangio,2,7.0,6,1.0,Fastest Lap (+1 pt)
1951,7,"Autodromo Nazionale Monza, Italy",16,Nino Farina,3,4.0,4,1.0,Fastest Lap (+1 pt) [Manual]
1951,8,"Circuit de Pedralbes, Spain",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1952,1,"Bremgarten, Switzerland",141,Piero Taruffi,1,9.0,8,1.0,Fastest Lap (+1 pt)
1952,2,"Indianapolis Motor Speedway, United States",164,Bill Vukovich,17,1.0,0,1.0,Fastest Lap (+1 pt)
1952,3,"Circuit de Spa-Francorchamps, Belgium",24,Alberto Ascari,1,9.0,8,1.0,Fastest Lap (+1 pt)
1952,4,"Rouen les Essarts, France",24,Alberto Ascari,1,9.0,8,1.0,Fastest Lap (+1 pt)
1952,5,"Silverstone Circuit, Great Britain",24,Alberto Ascari,1,9.0,8,1.0,Fastest Lap (+1 pt)
1952,6,"Nürburgring, Germany",24,Alberto Ascari,1,9.0,8,1.0,Fastest Lap (+1 pt)
1952,7,"Circuit Zandvoort, Netherlands",24,Alberto Ascari,1,9.0,8,1.0,Fastest Lap (+1 pt)
1952,8,"Autodromo Nazionale Monza, Italy",24,Alberto Ascari,1,8.5,8,0.5,Shared Fastest Lap (fractional pt)
1952,8,"Autodromo Nazionale Monza, Italy",30,Jose Froilan Gonzalez,2,6.5,6,0.5,Shared Fastest Lap (fractional pt)
1953,1,"Autódromo Juan y Oscar Gálvez, Argentina",24,Alberto Ascari,1,9.0,8,1.0,Fastest Lap (+1 pt)
1953,2,"Indianapolis Motor Speedway, United States",164,Bill Vukovich,1,9.0,8,1.0,Fastest Lap (+1 pt)
1953,2,"Indianapolis Motor Speedway, United States",51,Fred Agabashian,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1953,2,"Indianapolis Motor Speedway, United States",69,Paul Russo,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1953,3,"Circuit Zandvoort, Netherlands",35,Luigi Villoresi,999,1.0,0,1.0,Fastest Lap (+1 pt)
1953,4,"Circuit de Spa-Francorchamps, Belgium",30,Jose Froilan Gonzalez,999,1.0,0,1.0,Fastest Lap (+1 pt)
1953,5,"Circuit de Reims-Gueux, France",11,Juan Manuel Fangio,2,7.0,6,1.0,Fastest Lap (+1 pt)
1953,6,"Silverstone Circuit, Great Britain",24,Alberto Ascari,1,8.5,8,0.5,Shared Fastest Lap (fractional pt)
1953,6,"Silverstone Circuit, Great Britain",30,Jose Froilan Gonzalez,4,3.5,3,0.5,Shared Fastest Lap (fractional pt)
1953,7,"Nürburgring, Germany",24,Alberto Ascari,8,1.0,0,1.0,Fastest Lap (+1 pt)
1953,8,"Bremgarten, Switzerland",24,Alberto Ascari,1,9.0,8,1.0,Fastest Lap (+1 pt)
1953,8,"Bremgarten, Switzerland",79,Felice Bonetto,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1953,8,"Bremgarten, Switzerland",11,Juan Manuel Fangio,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1953,9,"Autodromo Nazionale Monza, Italy",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
1954,1,"Autódromo Juan y Oscar Gálvez, Argentina",30,Jose Froilan Gonzalez,3,5.0,4,1.0,Fastest Lap (+1 pt)
1954,2,"Indianapolis Motor Speedway, United States",55,Jack McGrath,3,5.0,4,1.0,Fastest Lap (+1 pt)
1954,2,"Indianapolis Motor Speedway, United States",49,Duane Carter,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1954,2,"Indianapolis Motor Speedway, United States",73,Troy Ruttman,4,1.5,3,-1.5,Shared Fastest Lap (fractional pt)
1954,3,"Circuit de Spa-Francorchamps, Belgium",11,Juan Manuel Fangio,1,9.0,8,1.0,Fastest Lap (+1 pt)
