year,round,event_id,circuit,gp_name,country,location,dates,slug,url,status
2025,1,1254,"Albert Park Grand Prix Circuit, Melbourne",Australia Grand Prix,Australia,,2025/3/14 - 2025/3/16,,,Finished
2025,2,1255,"Shanghai International Circuit, Shanghai",China Grand Prix,China,,2025/3/21 - 2025/3/23,,,Finished
2025,3,1256,"Suzuka Circuit, Suzuka",Japan Grand Prix,Japan,,2025/4/4 - 2025/4/6,,,Finished
2025,4,1257,"Bahrain International Circuit, Sakhir",Bahrain Grand Prix,Bahrain,,2025/4/11 - 2025/4/13,,,Finished
2025,5,1258,"Jeddah Corniche Circuit, Jeddah",Saudi Arabia Grand Prix,Saudi Arabia,,2025/4/18 - 2025/4/20,,,Finished
2025,6,1259,"Miami International Autodrome, Miami Gardens",Miami Grand Prix,Miami,,2025/5/2 - 2025/5/4,,,Finished
2025,7,1260,"Autodromo Internazionale Enzo e Dino Ferrari, Imola",Emilia-Romagna Grand Prix,Emilia-Romagna,,2025/5/16 - 2025/5/18,,,Finished
2025,8,1261,"Circuit de Monaco, Monaco",Monaco Grand Prix,Monaco,,2025/5/23 - 2025/5/25,,,Finished
2025,9,1262,"Circuit de Barcelona-Catalunya, Barcelona",Spain Grand Prix,Spain,,2025/5/30 - 2025/6/1,,,Finished
2025,10,1263,"Circuit Gilles-Villeneuve, Montréal",Canada Grand Prix,Canada,,2025/6/13 - 2025/6/15,,,Finished
2025,11,1264,"Red Bull Ring, Spielberg",Austria Grand Prix,Austria,,2025/6/27 - 2025/6/29,,,Finished
2025,12,1265,"Circuit de Spa-Francorchamps, Spa-Francorchamps",Great Britain Grand Prix,Great Britain,,2025/7/25 - 2025/7/27,,,Finished
2025,13,1266,"Hungaroring, Budapest",Belgium Grand Prix,Belgium,,2025/8/1 - 2025/8/3,,,Finished
2025,14,1267,"Circuit Zandvoort, Zandvoort",Hungary Grand Prix,Hungary,,2025/8/29 - 2025/8/31,,,Finished
2025,15,1268,"Autodromo Nazionale Monza, Monza",Netherlands Grand Prix,Netherlands,,2025/9/5 - 2025/9/7,,,Finished
2025,16,1269,"Baku City Circuit, Baku",Italy Grand Prix,Italy,,2025/9/19 - 2025/9/21,,,Finished
2025,17,1270,"Marina Bay Street Circuit, Marina Bay",Azerbaijan Grand Prix,Azerbaijan,,2025/10/3 - 2025/10/5,,,Finished
2025,18,1271,"Circuit of The Americas, Austin",Singapore Grand Prix,Singapore,,2025/10/17 - 2025/10/19,,,Finished
2025,19,1272,"Autódromo Hermanos Rodríguez, Mexico City",United States Grand Prix,United States,,2025/10/24 - 2025/10/26,,,Finished
2025,20,1273,"Autódromo José Carlos Pace, São Paulo",Mexico Grand Prix,Mexico,,2025/11/7 - 2025/11/9,,,Finished
2025,21,1274,"Las Vegas Strip Circuit, Las Vegas",Brazil Grand Prix,Brazil,,2025/11/20 - 2025/11/22,,,Finished
2025,22,1275,"Lusail International Circuit, Lusail",Las Vegas Grand Prix,Las Vegas,,2025/11/28 - 2025/11/30,,,Finished
2025,23,1276,"Yas Marina Circuit, Yas Island",Qatar Grand Prix,Qatar,,2025/12/5 - 2025/12/7,,,Finished
2025,24,1277,"Silverstone Circuit, Silverstone",Abu Dhabi Grand Prix,Abu Dhabi,,2025/7/4 - 2025/7/6,,,Finished
2024,1,1229,"Bahrain International Circuit, Sakhir",Bahrain Grand Prix,Bahrain,,2024/2/29 - 2024/3/2,,,Finished
2024,2,1230,"Jeddah Corniche Circuit, Jeddah",Saudi Arabia Grand Prix,Saudi Arabia,,2024/3/7 - 2024/3/9,,,Finished
2024,3,1231,"Albert Park Grand Prix Circuit, Melbourne",Australia Grand Prix,Australia,,2024/3/22 - 2024/3/24,,,Finished
2024,4,1232,"Suzuka Circuit, Suzuka",Japan Grand Prix,Japan,,2024/4/5 - 2024/4/7,,,Finished
2024,5,1233,"Shanghai International Circuit, Shanghai",China Grand Prix,China,,2024/4/19 - 2024/4/21,,,Finished
2024,6,1234,"Miami International Autodrome, Miami",Miami Grand Prix,Miami,,2024/5/3 - 2024/5/5,,,Finished
2024,7,1235,"Autodromo Internazionale Enzo e Dino Ferrari, Imola",Emilia-Romagna Grand Prix,Emilia-Romagna,,2024/5/17 - 2024/5/19,,,Finished
2024,8,1236,"Circuit de Monaco, Monaco",Monaco Grand Prix,Monaco,,2024/5/24 - 2024/5/26,,,Finished
2024,9,1237,"Circuit Gilles-Villeneuve, Montréal",Canada Grand Prix,Canada,,2024/6/7 - 2024/6/9,,,Finished
2024,10,1238,"Circuit de Barcelona-Catalunya, Barcelona",Spain Grand Prix,Spain,,2024/6/21 - 2024/6/23,,,Finished
2024,11,1239,"Red Bull Ring, Spielberg",Austria Grand Prix,Austria,,2024/6/28 - 2024/6/30,,,Finished
2024,12,1240,"Silverstone Circuit, Silverstone",Great Britain Grand Prix,Great Britain,,2024/7/5 - 2024/7/7,,,Finished
2024,13,1241,"Hungaroring, Budapest",Hungary Grand Prix,Hungary,,2024/7/19 - 2024/7/21,,,Finished
2024,14,1242,"Circuit de Spa-Francorchamps, Spa-Francorchamps",Belgium Grand Prix,Belgium,,2024/7/26 - 2024/7/28,,,Finished
2024,15,1243,"Circuit Zandvoort, Zandvoort",Netherlands Grand Prix,Netherlands,,2024/8/23 - 2024/8/25,,,Finished
2024,16,1244,"Autodromo Nazionale Monza, Monza",Italy Grand Prix,Italy,,2024/8/30 - 2024/9/1,,,Finished
2024,17,1245,"Baku City Circuit, Baku",Azerbaijan Grand Prix,Azerbaijan,,2024/9/13 - 2024/9/15,,,Finished
2024,18,1246,"Marina Bay Street Circuit, Marina Bay",Singapore Grand Prix,Singapore,,2024/9/20 - 2024/9/22,,,Finished
2024,19,1247,"Circuit of The Americas, Austin",United States Grand Prix,United States,,2024/10/18 - 2024/10/20,,,Finished
2024,20,1248,"Autódromo Hermanos Rodríguez, Mexico City",Mexico Grand Prix,Mexico,,2024/10/25 - 2024/10/27,,,Finished
2024,21,1249,"Autódromo José Carlos Pace, São Paulo",Brazil Grand Prix,Brazil,,2024/11/1 - 2024/11/3,,,Finished
2024,22,1250,"Las Vegas Strip Circuit, Las Vegas",Las Vegas Grand Prix,Las Vegas,,2024/11/21 - 2024/11/23,,,Finished
2024,23,1251,"Lusail International Circuit, Lusail",Qatar Grand Prix,Qatar,,2024/11/29 - 2024/12/1,,,Finished
2024,24,1252,"Yas Marina Circuit, Yas Island",Abu Dhabi Grand Prix,Abu Dhabi,,2024/12/6 - 2024/12/8,,,Finished
2023,1,1141,"Bahrain International Circuit, Sakhir",Bahrain Grand Prix,Bahrain,,2023/3/3 - 2023/3/5,,,Finished
2023,2,1142,"Jeddah Corniche Circuit, Jeddah",Saudi Arabia Grand Prix,Saudi Arabia,,2023/3/17 - 2023/3/19,,,Finished
2023,3,1143,"Albert Park Grand Prix Circuit, Melbourne",Australia Grand Prix,Australia,,2023/3/31 - 2023/4/2,,,Finished
2023,4,1207,"Baku City Circuit, Baku",Azerbaijan Grand Prix,Azerbaijan,,2023/4/28 - 2023/4/30,,,Finished
