year,round,position,number,first_name,last_name,code,team,points,status
2021,10,1,,Max,Verstappen,,,3,Finished
2021,10,2,,Lewis,Hamilton,,,2,Finished
2021,10,3,,Valtteri,Bottas,,,1,Finished
2021,14,1,,Valtteri,Bottas,,,3,Finished
2021,14,2,,Max,Verstappen,,,2,Finished
2021,14,3,,Daniel,Ricciardo,,,1,Finished
2021,19,1,,Valtteri,Bottas,,,3,Finished
2021,19,2,,Max,Verstappen,,,2,Finished
2021,19,3,,Carlos,Sainz,,,1,Finished
2022,4,1,,Max,Verstappen,,,8,Finished
2022,4,2,,Charles,Leclerc,,,7,Finished
2022,4,3,,Sergio,Perez,,,6,Finished
2022,4,4,,Carlos,Sainz,,,5,Finished
2022,4,5,,Lando,Norris,,,4,Finished
2022,4,6,,Daniel,Ricciardo,,,3,Finished
2022,4,7,,Valtteri,Bottas,,,2,Finished
2022,4,8,,Kevin,Magnussen,,,1,Finished
2022,11,1,,Max,Verstappen,,,8,Finished
2022,11,2,,Charles,Leclerc,,,7,Finished
2022,11,3,,Carlos,Sainz,,,6,Finished
2022,11,4,,George,Russell,,,5,Finished
2022,11,5,,Sergio,Perez,,,4,Finished
2022,11,6,,Esteban,Ocon,,,3,Finished
2022,11,7,,Kevin,Magnussen,,,2,Finished
2022,11,8,,Lewis,Hamilton,,,1,Finished
2022,21,1,,George,Russell,,,8,Finished
2022,21,2,,Carlos,Sainz,,,7,Finished
2022,21,3,,Lewis,Hamilton,,,6,Finished
2022,21,4,,Max,Verstappen,,,5,Finished
2022,21,5,,Sergio,Perez,,,4,Finished
2022,21,6,,Charles,Leclerc,,,3,Finished
2022,21,7,,Lando,Norris,,,2,Finished
2022,21,8,,Kevin,Magnussen,,,1,Finished
2023,4,1,,Sergio,Perez,,,8,Finished
2023,4,2,,Charles,Leclerc,,,7,Finished
2023,4,3,,Max,Verstappen,,,6,Finished
2023,4,4,,George,Russell,,,5,Finished
2023,4,5,,Carlos,Sainz,,,4,Finished
2023,4,6,,Fernando,Alonso,,,3,Finished
2023,4,7,,Lewis,Hamilton,,,2,Finished
2023,4,8,,Lance,Stroll,,,1,Finished
2023,10,1,,Max,Verstappen,,,8,Finished
2023,10,2,,Sergio,Perez,,,7,Finished
2023,10,3,,Carlos,Sainz,,,6,Finished
2023,10,4,,Lance,Stroll,,,5,Finished
2023,10,5,,Fernando,Alonso,,,4,Finished
2023,10,6,,Nico,Hulkenberg,,,3,Finished
2023,10,7,,Esteban,Ocon,,,2,Finished
2023,10,8,,George,Russell,,,1,Finished
2023,13,1,,Max,Verstappen,,,8,Finished
2023,13,2,,Oscar,Piastri,,,7,Finished
2023,13,3,,Pierre,Gasly,,,6,Finished
2023,13,4,,Carlos,Sainz,,,5,Finished
2023,13,5,,Charles,Leclerc,,,4,Finished
2023,13,6,,Lando,Norris,,,3,Finished
2023,13,7,,Lewis,Hamilton,,,2,Finished
2023,13,8,,George,Russell,,,1,Finished
2023,18,1,,Oscar,Piastri,,,8,Finished
2023,18,2,,Max,Verstappen,,,7,Finished
2023,18,3,,Lando,Norris,,,6,Finished
2023,18,4,,George,Russell,,,5,Finished
2023,18,5,,Lewis,Hamilton,,,4,Finished
2023,18,6,,Carlos,Sainz,,,3,Finished
2023,18,7,,Alexander,Albon,,,2,Finished
2023,18,8,,Fernando,Alonso,,,1,Finished
2023,19,1,,Max,Verstappen,,,8,Finished
2023,19,2,,Lewis,Hamilton,,,7,Finished
2023,19,3,,Charles,Leclerc,,,6,Finished
2023,19,4,,Lando,Norris,,,5,Finished
2023,19,5,,Sergio,Perez,,,4,Finished
2023,19,6,,Carlos,Sainz,,,3,Finished
2023,19,7,,Pierre,Gasly,,,2,Finished
2023,19,8,,George,Russell,,,1,Finished
2023,21,1,,Max,Verstappen,,,8,Finished
2023,21,2,,Lando,Norris,,,7,Finished
2023,21,3,,Sergio,Perez,,,6,Finished
2023,21,4,,George,Russell,,,5,Finished
2023,21,5,,Charles,Leclerc,,,4,Finished
2023,21,6,,Yuki,Tsunoda,,,3,Finished
2023,21,7,,Lewis,Hamilton,,,2,Finished
2023,21,8,,Carlos,Sainz,,,1,Finished
2024,5,1,,Max,Verstappen,,,8,Finished
2024,5,2,,Lewis,Hamilton,,,7,Finished
2024,5,3,,Sergio,Perez,,,6,Finished
2024,5,4,,Charles,Leclerc,,,5,Finished
2024,5,5,,Carlos,Sainz,,,4,Finished
2024,5,6,,Lando,Norris,,,3,Finished
2024,5,7,,Oscar,Piastri,,,2,Finished
2024,5,8,,George,Russell,,,1,Finished
2024,6,1,,Max,Verstappen,,,8,Finished
2024,6,2,,Charles,Leclerc,,,7,Finished
2024,6,3,,Sergio,Perez,,,6,Finished
2024,6,4,,Daniel,Ricciardo,,,5,Finished
2024,6,5,,Carlos,Sainz,,,4,Finished
2024,6,6,,Oscar,Piastri,,,3,Finished
2024,6,7,,Nico,Hulkenberg,,,2,Finished
2024,6,8,,Yuki,Tsunoda,,,1,Finished
2024,11,1,,Max,Verstappen,,,8,Finished
2024,11,2,,Oscar,Piastri,,,7,Finished
2024,11,3,,Lando,Norris,,,6,Finished
