Raw Name,Standardized Name
﻿Adams Offenhauser,Adams
AFM BMW,AFM
AFM Bristol,AFM
AFM Kuchen,AFM
AGS Ford,AGS
AGS Motori Moderni,AGS
Alfa Romeo,Alfa Romeo
Alfa Romeo Ferrari,Alfa Romeo
Alfa Romeo Racing Ferrari,Alfa Romeo
AlphaTauri Honda,AlphaTauri
AlphaTauri Honda RBPT,AlphaTauri
AlphaTauri RBPT,AlphaTauri
Alpine,Alpine
Alpine Renault,Alpine
Alta,Alta
Amon Ford,Amon
Arrows,Arrows
Arrows Asiatech,Arrows
Arrows BMW,Arrows
Arrows Cosworth,Arrows
Arrows Ford,Arrows
Arrows Megatron,Arrows
Arrows Supertec,Arrows
Arrows Yamaha,Arrows
Aston Butterworth,Aston Butterworth
Aston Martin,Aston Martin
Aston Martin Aramco Mercedes,Aston Martin
Aston Martin Mercedes,Aston Martin
ATS,ATS
ATS BMW,ATS
ATS Ford,ATS
BAR Honda,BAR
BAR Supertec,BAR
Behra-Porsche,Behra
Bellasi Ford,Bellasi
Benetton BMW,Benetton
Benetton Ford,Benetton
Benetton Playlife,Benetton
Benetton Renault,Benetton
BMW,BMW
Boro Ford,Boro
Brabham Alfa Romeo,Brabham
Brabham BMW,Brabham
Brabham BRM,Brabham
Brabham Climax,Brabham
Brabham Ford,Brabham
Brabham Judd,Brabham
Brabham Repco,Brabham
Brabham Yamaha,Brabham
Brawn Mercedes,Brawn GP
BRM,BRM
BRM Climax,BRM
Bromme Offenhauser,Bromme
BRP BRM,BRP
Bugatti,Bugatti
Caterham Renault,Caterham
Christensen Offenhauser,Christensen
Coloni Ford,Coloni
Connaught Alta,Connaught
Connaught Lea Francis,Connaught
Connew Ford,Connew
Cooper Alfa Romeo,Cooper
Cooper Alta,Cooper
Cooper ATS,Cooper
Cooper Borgward,Cooper
Cooper Bristol,Cooper
Cooper BRM,Cooper
Cooper Castellotti,Cooper
Cooper Climax,Cooper
Cooper Ferrari,Cooper
Cooper Ford,Cooper
Cooper JAP,Cooper
Cooper Maserati,Cooper
Cooper OSCA,Cooper
Dallara Ferrari,Dallara
Dallara Ford,Dallara
Dallara Judd,Dallara
De Tomaso Alfa Romeo,De Tomaso
De Tomaso Ford,De Tomaso
De Tomaso OSCA,De Tomaso
Deidt Offenhauser,Deidt
Del Roy Offenhauser,Del Roy
Derrington-Francis ATS,Derrington-Francis ATS
Dunn Offenhauser,Dunn
Eagle Climax,Eagle
Eagle Weslake,Eagle
Eifelland Ford,Eifelland
Elder Offenhauser,Elder
Emeryson Alta,Emeryson
Emeryson Climax,Emeryson
EMW,EMW
ENB Maserati,ENB Maserati
Ensign Ford,Ensign
Epperly Offenhauser,Epperly
ERA,ERA
ERA Bristol,ERA
Euro Brun Ford,Euro Brun
Euro Brun Judd,Euro Brun
Ewing Offenhauser,Ewing
Ferguson Climax,Ferguson
Ferrari,Ferrari
Ferrari Jaguar,Ferrari Jaguar
Fittipaldi Ford,Fittipaldi
Fondmetal Ford,Fondmetal
Footwork Ford,Footwork
Footwork Hart,Footwork
Footwork Mugen Honda,Footwork
Footwork Porsche,Footwork
Force India Ferrari,Force India
Force India Mercedes,Force India
Forti Ford,Forti
Frank Williams Racing Cars/Williams,Williams
Frazer Nash,Frazer Nash
Frazer Nash Bristol,Frazer Nash
Gilby BRM,Gilby
Gilby Climax,Gilby
Gordini,Gordini
Haas F1 Team,Haas
Haas Ferrari,Haas
Hall Offenhauser,Hall
Hesketh Ford,Hesketh
Hill Ford,Hill
Honda,Honda
HRT Cosworth,HRT
HWM Alta,HWM Alta
Iso Marlboro Ford,Iso Marlboro
Jaguar Cosworth,Jaguar
JBW Climax,JBW
JBW Maserati,JBW
Jordan Ford,Jordan
Jordan Hart,Jordan
Jordan Honda,Jordan
Jordan Mugen Honda,Jordan
Jordan Peugeot,Jordan
Jordan Toyota,Jordan
Jordan Yamaha,Jordan
Kick Sauber,Kick Sauber
Kick Sauber Ferrari,Kick Sauber
Klenk BMW,Klenk
Kojima Ford,Kojima
Kurtis Kraft Cummins,Kurtis Kraft
Kurtis Kraft Novi,Kurtis Kraft
Kurtis Kraft Offenhauser,Kurtis Kraft
Kuzma Offenhauser,Kuzma
Lambo Lamborghini,Lamborghini
Lancia,Lancia
Langley Offenhauser,Langley
Larrousse Ford,Larrousse
Larrousse Lamborghini,Larrousse
LDS Alfa Romeo,LDS
LDS Climax,LDS
LDS Repco,LDS
LEC Ford,LEC
Lesovsky Offenhauser,Lesovsky
Leyton House Ilmor,Leyton House
Leyton House Judd,Leyton House
Ligier Ford,Ligier
Ligier Judd,Ligier
Ligier Lamborghini,Ligier
Ligier Matra,Ligier
Ligier Megatron,Ligier
Ligier Mugen Honda,Ligier
Ligier Renault,Ligier
Lola BMW,Lola
Lola Climax,Lola
Lola Ferrari,Lola
Lola Ford,Lola
Lola Hart,Lola
Lola Lamborghini,Lola
Lotus BRM,Lotus
Lotus Climax,Lotus
Lotus Cosworth,Lotus
Lotus Ford,Lotus
Lotus Honda,Lotus
Lotus Judd,Lotus
Lotus Lamborghini,Lotus
Lotus Maserati,Lotus
Lotus Mercedes,Lotus
Lotus Mugen Honda,Lotus
Lotus Pratt & Whitney,Lotus
Lotus Renault,Lotus
Lyncar Ford,Lyncar
March Alfa Romeo,March
March Ford,March
March Ilmor,March
March Judd,March
Marchese Offenhauser,Marchese
Martini Ford,Martini
Marussia Cosworth,Marussia
Marussia Ferrari,Marussia
Maserati,Maserati
Maserati Milano,Maserati
Maserati Offenhauser,Maserati
Maserati OSCA,Maserati
Maserati Plate,Maserati
Maserati-Offenhauser,Maserati
Matra,Matra
Matra BRM,Matra
Matra Cosworth,Matra
Matra Ford,Matra
McLaren,McLaren
McLaren Alfa Romeo,McLaren
Mclaren BRM,McLaren
McLaren Ford,McLaren
McLaren Honda,McLaren
McLaren Mercedes,McLaren
McLaren Peugeot,McLaren
McLaren Renault,McLaren
McLaren Serenissima,McLaren
McLaren TAG,McLaren
Mercedes,Mercedes
Mercedes-Benz,Mercedes
Merzario Ford,Merzario
Meskowski Offenhauser,Meskowski
MF1 Toyota,MF1
Minardi Asiatech,Minardi
Minardi Cosworth,Minardi
Minardi European,Minardi
Minardi Ferrari,Minardi
Minardi Fondmetal,Minardi
Minardi Ford,Minardi
Minardi Hart,Minardi
Minardi Lamborghini,Minardi
Minardi Motori Moderni,Minardi
Moda Judd,Moda
Moore Offenhauser,Moore
MRT Mercedes,Manor
Nichels Offenhauser,Nichels
Olson Offenhauser,Olson
Onyx Ford,Onyx
OSCA,OSCA
Osella,Osella
Osella Alfa Romeo,Osella
Osella Ford,Osella
Osella Hart,Osella
Pacific Ilmor,Pacific
Pankratz Offenhauser,Pankratz
Parnelli Ford,Parnelli
Pawl Offenhauser,Pawl
Penske Ford,Penske
Phillips Offenhauser,Phillips
Politoys Ford,Politoys
Porsche,Porsche
Porsche (F2),Porsche
Prost Acer,Prost
Prost Mugen Honda,Prost
Prost Peugeot,Prost
Protos Cosworth,Protos
Racing Bulls,Racing Bulls
Racing Point BWT Mercedes,Racing Point
Rae Offenhauser,Rae
RAM Ford,RAM
RAM Hart,RAM
RB Honda RBPT,RB
RBR Cosworth,Red Bull Racing
RBR Ferrari,Red Bull Racing
RBR Renault,Red Bull Racing
Rebaque Ford,Rebaque
Red Bull Racing,Red Bull Racing
Red Bull Racing Honda,Red Bull Racing
Red Bull Racing Honda RBPT,Red Bull Racing
Red Bull Racing RBPT,Red Bull Racing
Red Bull Racing Renault,Red Bull Racing
Red Bull Racing TAG Heuer,Red Bull Racing
